# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	3843
#@/user_id	b176f87b-293e-4035-b0c9-fd7cf4777bf9
a 	啊	c=5 d=0.603844 t=3843
fei 	沸	c=1 d=1 t=3660
fei chang 	非常	c=1 d=0.0916297 t=3843
fei dian 	沸點	c=4 d=3.88304 t=3663
fei ji 	飛機	c=0 d=0.0168638 t=3843
fen 	分	c=1 d=0.000601515 t=3843
fen dao 	分到	c=1 d=0.000596161 t=3843
fen guo 	分過	c=0 d=3.89752e-05 t=3843
fen guo qu 	分過區	c=1 d=0.000391706 t=3843
fen nu 	憤怒	c=4 d=0.421347 t=3843
fen pei 	分配	c=1 d=0.25284 t=3843
fen qu 	分區	c=5 d=0.00246204 t=3843
feng 	封	c=1 d=2.03995e-05 t=3843
feng guan 	封管	c=1 d=2.09159e-05 t=3843
feng kuang 	瘋狂	c=1 d=0.00835412 t=3843
fu 	服	c=1 d=0.537944 t=3843
fu bai 	腐敗	c=1 d=0.790571 t=3843
fu hao 	符號	c=1 d=0.324652 t=3843
fu pei rong 	傅佩榮	c=1 d=0.172907 t=3843
fu wu qi 	服務器	c=1 d=1 t=3820
gai 	改	c=4 d=0.00118744 t=3843
gai bu dong 	改不懂	c=1 d=0.00065886 t=3843
gai cheng 	改成	c=2 d=0.0013345 t=3843
gai nian 	概念	c=2 d=1.98511 t=3813
gai xing 	改性	c=1 d=0.271173 t=3843
gai xing 	改行	c=1 d=0.26982 t=3843
gan 	幹	c=2 d=0.375893 t=3843
gan ga 	尷尬	c=0 d=0.0263158 t=3843
gan ga zhe 	尷尬着	c=1 d=0.264477 t=3843
gan guo 	幹過	c=1 d=0.423162 t=3843
gan jue 	感覺	c=2 d=0.000875736 t=3843
gan si 	乾死	c=0 d=0.040657 t=3843
gan si le 	乾死了	c=1 d=0.408608 t=3843
gang men 	肛門	c=1 d=0.752014 t=3843
gao 	搞	c=1 d=0.0739031 t=3843
gao 	高	c=1 d=0.00794669 t=3843
gao gong 	高拱	c=1 d=0.0682212 t=3843
gao lu 	高盧	c=0 d=0.029671 t=3843
gao lu ren 	高盧人	c=2 d=0.54958 t=3843
gao nong du 	高濃度	c=1 d=1 t=3649
gao zhi shang 	高智商	c=1 d=0.615697 t=3843
ge 	個	c=4 d=0.152209 t=3843
gei 	給	c=3 d=0.302645 t=3843
gei ni 	給你	c=8 d=0.321422 t=3843
gei ni fa 	給你發	c=1 d=0.000902809 t=3843
gei wo 	給我	c=7 d=0.130691 t=3843
gen ji 	根基	c=1 d=0.348192 t=3843
geng gai 	更改	c=2 d=0.000550039 t=3843
geng huan 	更換	c=1 d=0.822835 t=3843
geng xin 	更新	c=4 d=0.0807641 t=3843
gong 	共	c=1 d=1 t=3659
gong he guo 	共和國	c=2 d=1.00574 t=3843
gong ju 	工具	c=8 d=1.95552 t=3843
gong ju wu 	共聚物	c=1 d=0.951229 t=3843
gong ke 	工科	c=1 d=1 t=3843
gong neng 	功能	c=4 d=0.384119 t=3843
gong xiang 	共享	c=1 d=0.955997 t=3843
gong yuan 	公元	c=1 d=0.45612 t=3843
gong zuo 	工作	c=2 d=0.353693 t=3843
gou 	夠	c=1 d=0.794534 t=3843
gou le 	夠了	c=2 d=0.358796 t=3843
gou yong 	夠用	c=1 d=0.0539337 t=3843
gu 	古	c=0 d=0.0394554 t=3843
gu cheng 	孤城	c=1 d=1 t=3843
gu ge 	谷歌	c=5 d=0.965605 t=3843
gu li 	鼓勵	c=1 d=0.343009 t=3843
gu shi 	故事	c=2 d=1.05314 t=3843
gu tai 	固態	c=2 d=0.046186 t=3843
gu tai ying pan 	固態硬盤	c=1 d=0.255381 t=3843
gu yuan 	古猿	c=0 d=0.1 t=3535
gua zai 	掛載	c=1 d=0.0170774 t=3843
guan 	管	c=1 d=2.05018e-05 t=3843
guan li qi 	管理器	c=4 d=1.28423 t=3843
guan wang 	官網	c=1 d=0.189191 t=3843
guan xi 	關係	c=1 d=0.305746 t=3843
guan yu 	關於	c=1 d=0.0753961 t=3843
guang 	光	c=1 d=1 t=3728
guang pan 	光盤	c=2 d=0.000437941 t=3843
guang qu 	光驅	c=3 d=0.0328566 t=3843
guang qu wei 	光驅位	c=1 d=0.0125881 t=3843
gui 	貴	c=2 d=0.102814 t=3843
gui gen 	歸根	c=1 d=0.120633 t=3843
guo 	過	c=1 d=0.0286339 t=3843
guo cheng 	過程	c=2 d=0.904837 t=3843
guo ji 	國際	c=0 d=0.000358858 t=3843
guo ji ban 	國際版	c=1 d=0.00360656 t=3843
guo ji biao 	國際標	c=1 d=0.00355287 t=3843
guo jia 	國家	c=1 d=0.467666 t=3843
guo jiao 	國腳	c=1 d=0.878095 t=3843
guo liang 	過量	c=1 d=1 t=3620
guo ran 	果然	c=1 d=0.100761 t=3843
guo wai 	國外	c=1 d=0.442639 t=3843
ha ha 	哈哈	c=3 d=2.92632 t=3843
ha ha ha 	哈哈哈	c=1 d=0.951229 t=3843
hai 	還	c=3 d=1.64437 t=3843
hai gan 	還敢	c=1 d=0.763379 t=3843
hai gao 	還高	c=1 d=0.0081887 t=3843
hai ke yi 	還可以	c=3 d=1.07973 t=3843
hai mei you 	還沒有	c=3 d=0.729789 t=3843
hai shi 	還是	c=4 d=0.99005 t=3843
hai yao 	還要	c=1 d=0.150318 t=3843
hai yao bu yao 	還要不要	c=1 d=3.38017e-05 t=3843
hai you 	還有	c=1 d=0.00565622 t=3843
han ni ba 	漢尼拔	c=1 d=0.511709 t=3843
han shu 	函數	c=1 d=1 t=3775
hang 	行	c=1 d=0.00311151 t=3843
hao 	好	c=9 d=1.38169 t=3843
hao ba 	好吧	c=4 d=1.27426 t=3843
hao de 	好的	c=1 d=2.93858e-05 t=3843
hao duo 	好多	c=1 d=3.51812e-05 t=3843
hao le 	好了	c=5 d=0.00734925 t=3843
hao shao 	好少	c=1 d=0.0411719 t=3843
hao shou 	好手	c=1 d=0.380983 t=3843
hao xiang 	好像	c=3 d=0.149265 t=3843
hao yi dian 	好一點	c=1 d=0.0702988 t=3843
hao yong 	好用	c=2 d=0.31177 t=3843
he 	和	c=31 d=5.2952 t=3843
he 	盒	c=2 d=0.0239915 t=3843
he bei 	河北	c=1 d=1 t=3829
he cheng 	合成	c=10 d=4.53267 t=3843
he nan 	河南	c=1 d=1 t=3827
he pan 	河畔	c=0 d=0.0960789 t=3843
he xin 	核心	c=2 d=1.99501 t=3758
he xing 	核型	c=1 d=0.128093 t=3843
hei ban 	黑板	c=3 d=0.375479 t=3843
hei se 	黑色	c=1 d=0.927743 t=3843
hei sen lin 	黑森林	c=1 d=6.22097e-05 t=3843
hen 	很	c=8 d=1.79997 t=3843
hen bu 	很不	c=1 d=0.571209 t=3843
hen bu cuo 	很不錯	c=1 d=0.0620385 t=3843
hen duo 	很多	c=4 d=0.265634 t=3843
hen hao 	很好	c=0 d=0.018452 t=3843
hen hao yong 	很好用	c=1 d=0.185444 t=3843
hen kuai 	很快	c=1 d=7.56041e-05 t=3843
hen qiang 	很強	c=1 d=0.66365 t=3843
hen shuang 	很爽	c=1 d=0.0675424 t=3843
hen xiao 	很小	c=1 d=0.000231716 t=3843
